RES_ID,RESPONSE,LABEL,RESPONSE_CLN,RESPONSE_CLN2,count_word,count_word_cln,count_word_cln2,avg_word_length,avg_word_length_cln,is_sumbang,is_kerja,is_upaya,is_memilih,is_pabrik,is_membantu,is_orang,is_pekerja,is_produksi,is_menyumbang,is_beretika,is_layak,is_pakaian,is_konsumen,is_pahala,is_kondisi,is_membutuhkan,is_karena,count_stopwords,count_topwords,RESPOND_USED
TRB11,KARENA MENYUMBANG ITU HARUS DI LAKUKAN KARENA WAJIB DAN AKAN MENDAPATKAN YANG LEBIH UNTUK ORANG YANG MENYUMBANG,1,menyumbang lakukan wajib orang menyumbang,karena menyumbang harus lakukan karena wajib akan mendapatkan yang lebih untuk orang yang menyumbang,17,5,14,5.588235294117647,7.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,12,3,karena menyumbang harus lakukan karena wajib akan mendapatkan yang lebih untuk orang yang menyumbang 0
TRB12,mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang ber etika,1,memilih menyumbang memakai pakaian ber etika,mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang etika,12,6,11,5.916666666666667,6.5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,3,mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang etika 0 0 0 0
TRB13,"? karena kegiatan menyumbang lebih utama dan termasuk hal yang diwajibkan untuk orang ada,sedangkan membeli pakaian tidak terlalu perlu asal kita sudah mempunyai pakaian yang cukup",1,kegiatan menyumbang utama diwajibkan orang membeli pakaian pakaian,karena kegiatan menyumbang lebih utama termasuk yang diwajibkan untuk orang sedangkan membeli pakaian tidak terlalu perlu asal kita sudah mempunyai pakaian yang cukup,26,8,23,5.961538461538462,7.375,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,16,4,karena kegiatan menyumbang lebih utama termasuk yang diwajibkan untuk orang sedangkan membeli pakaian tidak terlalu
TRB14,karena orang orang masih peduli terhadap sesama,1,orang orang peduli,karena orang orang masih peduli terhadap sesama,7,3,7,5.857142857142857,5.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,karena orang orang masih peduli terhadap sesama 0 0 0 0 0 0 0 0
TRB15,karena kondisi di sebuah pabrik pakaian yang sangat mengejutkan,1,kondisi pabrik pakaian mengejutkan,karena kondisi sebuah pabrik pakaian yang sangat mengejutkan,9,4,8,6.111111111111111,7.75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,5,3,karena kondisi sebuah pabrik pakaian yang sangat mengejutkan 0 0 0 0 0 0 0
TRB16,karena dari pada dibuang lebih baik disumbangkan ke masyarakat yang tidak mampu [miskin],1,dibuang disumbangkan masyarakat miskin,karena dari pada dibuang lebih baik disumbangkan masyarakat yang tidak mampu miskin,13,4,12,5.846153846153846,8.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,karena dari pada dibuang lebih baik disumbangkan masyarakat yang tidak mampu miskin 0 0 0
TRB17,karena mungkin mereka sadar bahwa banyak orang yang penghasilan nya sedikit dan kerja banting tulang hanya untuk makan sehari-hari.,1,sadar orang penghasilan kerja banting tulang makan sehari,karena mungkin mereka sadar bahwa banyak orang yang penghasilan sedikit kerja banting tulang hanya untuk makan sehari hari,19,8,18,5.947368421052632,6.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,2,karena mungkin mereka sadar bahwa banyak orang yang penghasilan sedikit kerja banting tulang hanya untuk
TRB18,karena menyumbang itu lebih bermanfaat dari pada di buang,0,menyumbang bermanfaat buang,karena menyumbang lebih bermanfaat dari pada buang,9,3,7,5.444444444444445,8.333333333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,karena menyumbang lebih bermanfaat dari pada buang 0 0 0 0 0 0 0 0
TRB19,karena dari pada pakaian di buang lebih baik di sumbangkan,1,pakaian buang sumbangkan,karena dari pada pakaian buang lebih baik sumbangkan,10,3,8,4.9,7.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,karena dari pada pakaian buang lebih baik sumbangkan 0 0 0 0 0 0 0
TRB20,karena menyumbang itu sama denga sodaqoh juga itu bagi yg mampu dan hatinya ikhlas,0,menyumbang denga sodaqoh hatinya ikhlas,karena menyumbang sama denga sodaqoh juga bagi mampu hatinya ikhlas,14,5,10,4.928571428571429,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,1,karena menyumbang sama denga sodaqoh juga bagi mampu hatinya ikhlas 0 0 0 0 0
TRB21,"karna kondisi pekerja sangat memungkinkan,",1,kondisi pekerja,karna kondisi pekerja sangat memungkinkan,5,2,5,7.6,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,karna kondisi pekerja sangat memungkinkan 0 0 0 0 0 0 0 0 0 0
TRB22,karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,0,upaya produksi pakaian beretika,karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,10,4,10,6.4,7.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,6,4,karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika 0 0 0 0 0
TRB23,karna menyumbang suatu hal yang sangat bagus dan membarikan amal,1,menyumbang bagus membarikan amal,karna menyumbang suatu yang sangat bagus membarikan amal,10,4,8,5.5,7.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,karna menyumbang suatu yang sangat bagus membarikan amal 0 0 0 0 0 0 0
TRB24,karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan dan akan membuat produksi pakaian menjadi lebih beretika.,1,konsumen menyumbang hemat keuangan produksi pakaian beretika,karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan akan membuat produksi pakaian menjadi lebih beretika,20,7,19,6.3,7.714285714285714,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,13,4,karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan akan membuat produksi
TRB25,karena mengetahui kondisi kerja di sebuah pabrik pakaian,1,kondisi kerja pabrik pakaian,karena mengetahui kondisi kerja sebuah pabrik pakaian,8,4,7,6.125,6.25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,4,karena mengetahui kondisi kerja sebuah pabrik pakaian 0 0 0 0 0 0 0 0
TRB26,karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang di tempat sampah.,0,pakaian dipakai disumbangkan dibuang sampah,karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang tempat sampah,15,5,14,5.6,7.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,1,karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang tempat sampah 0
TRB27,karena dia tidak mau bererja,0,bererja,karena tidak bererja,5,1,3,4.8,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,karena tidak bererja 0 0 0 0 0 0 0 0 0 0 0 0
TRB28,karena jika banyak yang tidak terpakai akan mubasir,0,terpakai mubasir,karena jika banyak yang tidak terpakai akan mubasir,8,2,8,5.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,karena jika banyak yang tidak terpakai akan mubasir 0 0 0 0 0 0 0
TRB29,karena t sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1,upaya produksi pakaian beretika,karena sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,11,4,10,6.090909090909091,7.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,6,3,karena sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika 0 0 0 0 0
TRB30,karena yang tak terpakai lebih beretika,0,terpakai beretika,karena yang terpakai lebih beretika,6,2,5,5.666666666666667,8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,karena yang terpakai lebih beretika 0 0 0 0 0 0 0 0 0 0
TRB31,Karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut,1,menyumbangkan uangnya gambar ditampilkan perusahaan,karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut,13,5,13,7.230769230769231,9.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut 0 0
TRB32,karena kalo sumumbangkan lebih berguna ketika dibuang begtu saja maka dari itu orang memilih lebh banyak disumbangkan,0,kalo sumumbangkan berguna dibuang begtu orang memilih lebh disumbangkan,karena kalo sumumbangkan lebih berguna ketika dibuang begtu saja maka dari orang memilih lebh banyak disumbangkan,17,9,16,5.9411764705882355,7.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,2,karena kalo sumumbangkan lebih berguna ketika dibuang begtu saja maka dari orang memilih lebh banyak
TRB33,karena melihat kondisi kerja yang buruk di sebuah pabrik para konsumen lebih memilih menyumbang daripada membelinya dengan harga 2 Euro.,1,kondisi kerja buruk pabrik konsumen memilih menyumbang membelinya harga euro,karena melihat kondisi kerja yang buruk sebuah pabrik para konsumen lebih memilih menyumbang daripada membelinya dengan harga euro,20,10,18,5.85,6.7,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,9,6,karena melihat kondisi kerja yang buruk sebuah pabrik para konsumen lebih memilih menyumbang daripada membelinya
TRB34,karena konsumen lebih memilih membuat prodeuksi pakaian lebih beretika daripada harus melanjutkan pembelian,1,konsumen memilih prodeuksi pakaian beretika melanjutkan pembelian,karena konsumen lebih memilih membuat prodeuksi pakaian lebih beretika daripada harus melanjutkan pembelian,13,7,13,7.3076923076923075,8.428571428571429,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,6,4,karena konsumen lebih memilih membuat prodeuksi pakaian lebih beretika daripada harus melanjutkan pembelian 0 0
TRB35,karena menyumbang dapat membantu pakir miskin yang sangat membutuhkan dan mendapat pahala,0,menyumbang membantu pakir miskin membutuhkan pahala,karena menyumbang dapat membantu pakir miskin yang sangat membutuhkan mendapat pahala,12,6,11,6.5,7.666666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,6,4,karena menyumbang dapat membantu pakir miskin yang sangat membutuhkan mendapat pahala 0 0 0 0
TRB36,"ksarena dengan menyumbang, kita dapat membantu pabrik yang telah dalam masalah tersebut, agar dapat beroperasi dengan baik lagi",1,ksarena menyumbang membantu pabrik beroperasi,ksarena dengan menyumbang kita dapat membantu pabrik yang telah dalam masalah tersebut agar dapat beroperasi dengan baik lagi,18,5,18,6.111111111111111,8.2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12,2,ksarena dengan menyumbang kita dapat membantu pabrik yang telah dalam masalah tersebut agar dapat beroperasi
TRB37,untuk membuat toko tersebut lebih bagus lagi dan lebih complete,0,toko bagus complete,untuk membuat toko tersebut lebih bagus lagi lebih complete,10,3,9,5.4,5.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,untuk membuat toko tersebut lebih bagus lagi lebih complete 0 0 0 0 0 0
TRB38,karena bnyak yang membutuh kan,0,bnyak membutuh,karena bnyak yang membutuh,5,2,4,5.2,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,karena bnyak yang membutuh 0 0 0 0 0 0 0 0 0 0 0
TRB39,Karena membuat produksi pakaian menjadi lebih beretika.,1,produksi pakaian beretika,karena membuat produksi pakaian menjadi lebih beretika,7,3,7,7.0,7.666666666666667,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,2,karena membuat produksi pakaian menjadi lebih beretika 0 0 0 0 0 0 0 0
TRB40,karena dapat bermanfaat bagi sesama dan sesuai dengan etika pakaian sehingga dapat mengurangi smapah lingkungan dan polusi,1,bermanfaat sesuai etika pakaian mengurangi smapah lingkungan polusi,karena dapat bermanfaat bagi sesama sesuai dengan etika pakaian sehingga dapat mengurangi smapah lingkungan polusi,17,8,15,6.235294117647059,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,karena dapat bermanfaat bagi sesama sesuai dengan etika pakaian sehingga dapat mengurangi smapah lingkungan polusi
TRB41,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,1,upaya produksi pakaian beretika,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,9,4,9,6.555555555555555,7.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,4,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika 0 0 0 0 0 0
TRB42,karena mungkin menurut mereka lebih jika disumbang untuk membuat produksi pakaian menjadi lebih beretika daripada membeli dipabrik pakaian yang tidak berprinsip pakaian beretika,1,disumbang produksi pakaian beretika membeli dipabrik pakaian berprinsip pakaian beretika,karena mungkin menurut mereka lebih jika disumbang untuk membuat produksi pakaian menjadi lebih beretika daripada membeli dipabrik pakaian yang tidak berprinsip pakaian beretika,23,10,23,6.739130434782608,7.9,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,13,6,karena mungkin menurut mereka lebih jika disumbang untuk membuat produksi pakaian menjadi lebih beretika daripada
TRB43,karena itu akan membantu para masyarakat yang kekurangan pakaian dan lebih bermanfaat daripada membuangnya secara cuma cuma,1,membantu masyarakat kekurangan pakaian bermanfaat membuangnya,karena akan membantu para masyarakat yang kekurangan pakaian lebih bermanfaat daripada membuangnya secara cuma cuma,17,6,15,6.294117647058823,9.333333333333334,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11,2,karena akan membantu para masyarakat yang kekurangan pakaian lebih bermanfaat daripada membuangnya secara cuma cuma
TRB44,karna sudah bosan dipakai dan lebih baik dipakai dengan orang lain,0,bosan dipakai dipakai orang,karna sudah bosan dipakai lebih baik dipakai dengan orang lain,11,4,10,5.090909090909091,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,karna sudah bosan dipakai lebih baik dipakai dengan orang lain 0 0 0 0 0
TRB45,karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika,1,upaya produksi pakaian beretika,karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika,11,4,11,6.2727272727272725,7.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,7,4,karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika 0 0 0 0
TRB46,"karena mereka melihat tentang kondisi kerja di sebuah pabrik pakaian,sehingga mereka berpikir dengan menyumbang mereka dapat memperbaiki keadaan tersebut",1,kondisi kerja pabrik pakaian berpikir menyumbang memperbaiki,karena mereka melihat tentang kondisi kerja sebuah pabrik pakaian sehingga mereka berpikir dengan menyumbang mereka dapat memperbaiki keadaan tersebut,19,7,19,7.105263157894737,7.714285714285714,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,12,4,karena mereka melihat tentang kondisi kerja sebuah pabrik pakaian sehingga mereka berpikir dengan menyumbang mereka
TRB47,karena harga pakaian termasuk kategori murah dan mereka mengetahui kondisi kerja di sebuah pabrik terseebut,0,harga pakaian kategori murah kondisi kerja pabrik terseebut,karena harga pakaian termasuk kategori murah mereka mengetahui kondisi kerja sebuah pabrik terseebut,15,8,13,6.2,6.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,7,4,karena harga pakaian termasuk kategori murah mereka mengetahui kondisi kerja sebuah pabrik terseebut 0 0
TRB48,upaya untuk membuat produksi pakaian menjadi lebih beretika.,1,upaya produksi pakaian beretika,upaya untuk membuat produksi pakaian menjadi lebih beretika,8,4,8,6.625,7.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,3,upaya untuk membuat produksi pakaian menjadi lebih beretika 0 0 0 0 0 0 0
TRB49,agar pabrik pakaian semakin baik dan dapat memproduksi pakaian yang baik pula untuk mereka.,1,pabrik pakaian memproduksi pakaian,agar pabrik pakaian semakin baik dapat memproduksi pakaian yang baik pula untuk mereka,14,4,13,5.571428571428571,7.75,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,3,agar pabrik pakaian semakin baik dapat memproduksi pakaian yang baik pula untuk mereka 0 0
TRB50,Agar pakaiannya bisa berguna bagi orang yang membutuhkan daripada harus dibuang lebih baik disumbangkan,0,pakaiannya berguna orang membutuhkan dibuang disumbangkan,agar pakaiannya bisa berguna bagi orang yang membutuhkan daripada harus dibuang lebih baik disumbangkan,14,6,14,6.428571428571429,8.666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,8,2,agar pakaiannya bisa berguna bagi orang yang membutuhkan daripada harus dibuang lebih baik disumbangkan 0
TRB51,mereka kasihan dengan kondisi pabrik pakaian,1,kasihan kondisi pabrik pakaian,mereka kasihan dengan kondisi pabrik pakaian,6,4,6,6.5,6.75,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,mereka kasihan dengan kondisi pabrik pakaian 0 0 0 0 0 0 0 0 0
TRB52,karena menurut mereka jika mereka bisa menyumbangkan 2 euro tersebut mereka berharap kondisi parik tersebut bisa diperbaiki,1,menyumbangkan euro berharap kondisi parik diperbaiki,karena menurut mereka jika mereka bisa menyumbangkan euro tersebut mereka berharap kondisi parik tersebut bisa diperbaiki,17,6,16,6.294117647058823,7.833333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,10,1,karena menurut mereka jika mereka bisa menyumbangkan euro tersebut mereka berharap kondisi parik tersebut bisa
TRB53,karena dengan menyumbang kita akan mendapat pahala dan lebih bermanfaat,1,menyumbang pahala bermanfaat,karena dengan menyumbang kita akan mendapat pahala lebih bermanfaat,10,3,9,6.2,8.666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,7,2,karena dengan menyumbang kita akan mendapat pahala lebih bermanfaat 0 0 0 0 0 0
TRB54,agar pakaian bisa dibuat sesuai etika,0,pakaian sesuai etika,agar pakaian bisa dibuat sesuai etika,6,3,6,5.333333333333333,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,agar pakaian bisa dibuat sesuai etika 0 0 0 0 0 0 0 0 0
TRB55,"karena Setelahnya, konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan 2 Euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.",1,setelahnya konsumen pilihan melanjutkan pembelian menyumbangkan euro upaya produksi pakaian beretika,karena setelahnya konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,23,11,22,6.869565217391305,8.181818181818182,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,11,4,karena setelahnya konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan euro tersebut sebagai upaya
TRB56,karena mungkin mereka hanya peduli pada orang yang lebih membutuhkan dan karena mungkin sebagian orang tidak mampu,0,peduli orang membutuhkan orang,karena mungkin mereka hanya peduli pada orang yang lebih membutuhkan karena mungkin sebagian orang tidak mampu,17,4,16,5.764705882352941,6.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,13,3,karena mungkin mereka hanya peduli pada orang yang lebih membutuhkan karena mungkin sebagian orang tidak
TRB57,karna kasihan terhadap kondisi para pekerja,0,kasihan kondisi pekerja,karna kasihan terhadap kondisi para pekerja,6,3,6,6.333333333333333,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,2,karna kasihan terhadap kondisi para pekerja 0 0 0 0 0 0 0 0 0
TRB58,"karna lebih baik menyumbang daripada yang disumbang,menyumbang kita dapat pahala atau rizki dari allah",0,menyumbang disumbang menyumbang pahala rizki allah,karna lebih baik menyumbang daripada yang disumbang menyumbang kita dapat pahala atau rizki dari allah,14,6,15,6.357142857142857,7.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9,2,karna lebih baik menyumbang daripada yang disumbang menyumbang kita dapat pahala atau rizki dari allah
TRB59,karna untuk sedekah,0,sedekah,karna untuk sedekah,3,1,3,5.666666666666667,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,karna untuk sedekah 0 0 0 0 0 0 0 0 0 0 0 0
TRB60,dikarenakan kondisi pabrik pembuat pakaian yang mengejutkan,1,kondisi pabrik pembuat pakaian mengejutkan,dikarenakan kondisi pabrik pembuat pakaian yang mengejutkan,7,5,7,7.571428571428571,7.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,dikarenakan kondisi pabrik pembuat pakaian yang mengejutkan 0 0 0 0 0 0 0 0
TRB61,membuat produksi pakaian menjadi lbih beretika,1,produksi pakaian lbih beretika,membuat produksi pakaian menjadi lbih beretika,6,4,6,6.833333333333333,6.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,3,membuat produksi pakaian menjadi lbih beretika 0 0 0 0 0 0 0 0 0
TRB62,krena mungkin kekecilan /kebesaran,0,krena kekecilan kebesaran,krena mungkin kekecilan kebesaran,4,3,4,7.75,7.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,krena mungkin kekecilan kebesaran 0 0 0 0 0 0 0 0 0 0 0
TRB63,mereka memiliki rasa kepedulian terhadap sesama.,1,memiliki kepedulian,mereka memiliki rasa kepedulian terhadap sesama,6,2,6,7.166666666666667,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,mereka memiliki rasa kepedulian terhadap sesama 0 0 0 0 0 0 0 0 0
TRB64,tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.,0,tren fast fashion membeli pakaian awet sesuai etika,tren fast fashion membeli pakaian yang lebih awet dibuat sesuai etika,13,8,11,5.076923076923077,5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,tren fast fashion membeli pakaian yang lebih awet dibuat sesuai etika 0 0 0 0
TRB65,karena jauh lebih bermanfaat bagi orang-orang yg membutuhkannya,0,bermanfaat orang orang membutuhkannya,karena jauh lebih bermanfaat bagi orang orang membutuhkannya,8,4,8,7.0,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,karena jauh lebih bermanfaat bagi orang orang membutuhkannya 0 0 0 0 0 0 0
TRB66,Karena apabila pakainan tersebut di buang akan menjadi limbah oleh sebab itu apabila mempunyai pakaian yang sudah tidak di pakai lagi lebih baik di sumbangkan,0,pakainan buang limbah pakaian pakai sumbangkan,karena apabila pakainan tersebut buang akan menjadi limbah oleh sebab apabila mempunyai pakaian yang sudah tidak pakai lagi lebih baik sumbangkan,25,6,21,5.36,6.833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,1,karena apabila pakainan tersebut buang akan menjadi limbah oleh sebab apabila mempunyai pakaian yang sudah
